hit_id,particle_id,tx,ty,tz,tpx,tpy,tpz,weight
1,0,-82.8277,-11.2349,-1502.5,-106392,-83740.7,-990792,     0
2,54046768941236224,-62.0011,-9.77214,-1502.5,-0.376546,-0.0780138,-9.13697,9.78126e-06
3,648523706460536832,-69.6451,-6.66218,-1502.5,0.296218,-0.00553899,-4.5656,8.23894e-06
4,211689523451527168,-65.9263,-11.6528,-1502.5,-0.69443,-0.0968743,-15.6121,9.32579e-06
5,90072817181130752,-78.0394,-9.36927,-1502.5,-0.253215,-0.00619932,-4.8248,7.11506e-06
6,423339052167593984,-80.5017,-8.58013,-1502.5,-0.623821,-0.0438527,-11.493,8.46349e-06
7,0,-80.7899,-9.9275,-1502.5,-582872,-241429,-775869,     0
8,337772239795519488,-94.0284,-8.87706,-1502.5,-0.521588,-0.080483,-8.37158,8.59582e-06
9,31525472269500416,-63.5447,-12.8922,-1502.5,-0.548538,-0.0882857,-12.6879,8.84484e-06
10,414334395533492224,-76.4731,-10.7058,-1502.5,-0.465902,-0.0394439,-9.06662,7.11506e-06
11,905233833022980096,-61.5347,-0.353264,-1502.5,-0.453282,-0.018412,-11.0932,8.96524e-06
12,414343191626514432,-61.6852,-2.7758,-1502.5,-0.848683,-0.0606714,-20.5149,1.28443e-05
13,351280839654375424,-86.4164,1.19663,-1502.5,-1.65207,0.0482434,-28.9628,1.8955e-05
14,761111566841020416,-39.4163,-2.62834,-1502.5,1.36878,-0.035175,-14.2445,1.69637e-05
15,324279514135789568,-79.2047,1.78468,-1502.5,-0.21916,0.0248714,-4.03402,6.26021e-06
16,0,-144.991,-12.5684, -1502, 90975,23174.5,-995583,     0
17,815158954257547264,-130.39,-11.7838, -1502,-0.264208,0.0164022,-3.0084,6.38531e-06
18,648520751523037184,-131.584,-13.608, -1502,-0.345701,-0.0689676,-4.0418,7.24028e-06
19,0,-138.286,-7.05054, -1502,-89185.4,70776.4,-993497,     0
20,0,-153.538,-0.515425, -1502,614650,-122428,-779241,     0
21,666537417775251456,-172.975,-13.2419, -1502,-0.64035,-0.0953654,-5.5624,4.12061e-06
22,247700247248109568,-118.163,-12.0573, -1502,-0.186485,-0.0545354,-2.41799,8.96524e-06
23,815158954257547264,-130.039,-11.8043, -1498,-0.264005,0.0148417,-3.00961,5.38191e-06
24,553949626114244608,-167.304,-31.5532, -1498,-0.585869,-0.0544846,-5.10275,4.66819e-06
25,0,-104.474,-21.9069, -1498,-114195,23744.4,-993175,     0
26,770116498353029120,-129.316,-17.0026, -1498,-0.331757,-0.083349,-3.94773,1.08681e-05
27,589977392341057536,-159.364,-28.6581, -1498,-0.308207,-0.00827396,-2.83434,5.61746e-06
28,292735075290710016,-135.35,-20.0612, -1498,-0.299923,-0.0879695,-3.48315,9.05672e-06
29,783636574364499968,-103.137,-19.5289, -1498,-0.217487,-0.0251482,-3.06735,7.76987e-06
30,270217764348624896,-110.383,-16.0099, -1498,-0.34241,-0.0182117,-4.56081,7.6808e-06
31,648520751523037184,-131.241,-13.5388, -1498,-0.346994,-0.0707334,-4.0426,5.61746e-06
32,4516175291613184,-128.896,-21.6125, -1498,-0.554787,-0.0497533,-6.34962,8.46286e-06
33,247700247248109568,-117.856,-11.9664, -1498,-0.184571,-0.0554732,-2.41888,7.76987e-06
34,400832942500216832,-120.48,-21.9766, -1498,-0.180538,-0.0770566,-2.38476,8.33218e-06
35,4540776864284672,-149.97,-17.7727, -1498,-0.657052,-0.0474118,-6.71224,7.0385e-06
36,256707858819710976,-144.092,-27.6535, -1498,-0.545127,-0.15278,-5.81987,3.33421e-06
37,0,-78.9561,-22.9627, -1498,477817,159403,-863876,     0
38,0,-79.8057,-25.3145, -1498,320220,367846,-873011,     0
39,112597481107226624,-77.1719,-14.5744, -1498,-0.28504,-0.0275767,-5.39143,6.26021e-06
40,45052420228644864,-66.7286,-21.4534, -1498,-0.6217,-0.177661,-13.9295,8.47417e-06
41,337774026501914624,-62.2143,-21.5835, -1498,-0.270147,-0.0709188,-6.33123,6.03349e-06
42,373798906510704640,-71.6134,-22.6623, -1498,-0.441086,-0.163674,-9.40383,7.24028e-06
43,400828200856322048,-89.3425,-15.5803, -1498,-0.4301,-0.104574,-7.43045,7.11506e-06
44,761111566841020416,-39.8487,-2.61747, -1498,1.36896,-0.0334852,-14.2451,1.52239e-05
45,225180737282768896,-82.5423,-26.542, -1498,-0.417002,-0.107666,-7.37369,5.70375e-06
46,815155380844756992,-54.9762,-18.1224, -1498,-0.32374,-0.0875257,-8.55515,7.24028e-06
47,477382660012900352,-64.4167,-18.3249, -1498,-0.921706,-0.286567,-21.6456,1.11767e-05
48,400823184334520320,-69.8182,-16.6555, -1498,-0.936598,-0.243353,-20.3718,1.45489e-05
49,211689523451527168,-65.7264,-11.6248, -1498,-0.692116,-0.0972073,-15.613,8.3693e-06
50,31525472269500416,-63.3502,-12.861, -1498,-0.548118,-0.0884935,-12.6885,7.77274e-06
51,256715417962151936,-40.3745,-18.2408, -1498,-0.270781,-0.0833575,-4.92256,9.86176e-06
52,54046768941236224,-61.8164,-9.73416, -1498,-0.373848,-0.0762018,-9.13764,8.33218e-06
53,382809747897712640,-55.1267,-20.3867, -1498,-0.524892,-0.212237,-14.4417,8.0296e-06
54,405326028047646720,-69.7694,-17.8314, -1498,-0.387322,-0.121169,-8.5746,7.11506e-06
55,414334395533492224,-76.2424,-10.6861, -1498,-0.464068,-0.0403115,-9.06738,6.38531e-06
56,414343122907037696,-54.4177,-17.9282, -1498,-0.178957,-0.0385595,-4.67985,7.24028e-06
57,0,-53.5683,-10.4033, -1498,316312,224755,-921646,     0
58,279231766831562752,-68.5942,-23.6221, -1498,-0.557647,-0.212821,-12.4133,7.92486e-06
59,553949626114244608,-167.763,-31.5954, -1502,-0.58633,-0.0526427,-5.10218,4.66819e-06
60,490919434857218048,-104.154,-25.4142, -1502,-0.309297,-0.0441457,-4.33149,8.96524e-06
61,783636574364499968,-103.421,-19.561, -1502,-0.218573,-0.0239408,-3.06678,8.96524e-06
62,427851379168509952,-125.862,-36.4831, -1502,-0.16897,-0.00603316,-1.92319,9.05672e-06
63,400832942500216832,-120.783,-22.1061, -1502,-0.180785,-0.077666,-2.38377,9.78126e-06
64,815151601273536512,-133.608,-31.948, -1502,-2.12825,-0.465452,-23.8194,3.47231e-05
65,279229636527783936,-110.128,-28.0884, -1502,-0.421777,-0.145052,-5.938,8.96524e-06
66,256707858819710976,-144.466,-27.7585, -1502,-0.543677,-0.152603,-5.81945,4.44561e-06
67,594475769288196096,-61.6568,-29.6859, -1502,-0.471501,-0.247943,-11.7781,7.57059e-06
