hit_id,x,y,z,volume_id,layer_id,module_id
1,-82.838,-11.2402,-1502.5,7,2,1
2,-62.0214,-9.77127,-1502.5,7,2,1
3,-69.6578,-6.66082,-1502.5,7,2,1
4,-65.9373,-11.6342,-1502.5,7,2,1
5,-78.0206,-9.37532,-1502.5,7,2,1
6,-80.5103,-8.56818,-1502.5,7,2,1
7,-80.7857,-9.92259,-1502.5,7,2,1
8,-94.0275,-8.87969,-1502.5,7,2,1
9,-63.5244,-12.8988,-1502.5,7,2,1
10,-76.4609,-10.7071,-1502.5,7,2,1
11,-61.5213,-0.352996,-1502.5,7,2,1
12,-61.6695,-2.77208,-1502.5,7,2,1
13,-86.4136,1.19876,-1502.5,7,2,1
14,-39.4118,-2.62531,-1502.5,7,2,1
15,-79.1919,1.76713,-1502.5,7,2,1
16,-145.002,-12.5851,-1502,7,2,2
17,-130.399,-11.7732,-1502,7,2,2
18,-131.586,-13.6166,-1502,7,2,2
19,-138.275,-7.0578,-1502,7,2,2
20,-153.537,-0.515164,-1502,7,2,2
21,-172.969,-13.2274,-1502,7,2,2
22,-118.167,-12.0452,-1502,7,2,2
23,-130.026,-11.8021,-1498,7,2,3
24,-167.312,-31.5427,-1498,7,2,3
25,-104.477,-21.9193,-1498,7,2,3
26,-129.301,-17.0018,-1498,7,2,3
27,-159.365,-28.6671,-1498,7,2,3
28,-135.347,-20.0665,-1498,7,2,3
29,-103.139,-19.5115,-1498,7,2,3
30,-110.379,-16.0283,-1498,7,2,3
31,-131.252,-13.5381,-1498,7,2,3
32,-128.888,-21.5887,-1498,7,2,3
33,-117.848,-11.9713,-1498,7,2,3
34,-120.484,-21.9814,-1498,7,2,3
35,-149.981,-17.7661,-1498,7,2,3
36,-144.102,-27.6487,-1498,7,2,3
37,-78.9559,-22.9535,-1498,7,2,4
38,-79.8068,-25.3148,-1498,7,2,4
39,-77.1845,-14.5967,-1498,7,2,4
40,-66.7463,-21.4493,-1498,7,2,4
41,-62.1999,-21.5919,-1498,7,2,4
42,-71.6026,-22.6666,-1498,7,2,4
43,-89.3329,-15.5593,-1498,7,2,4
44,-39.8595,-2.60192,-1498,7,2,4
45,-82.5351,-26.5253,-1498,7,2,4
46,-54.9941,-18.1136,-1498,7,2,4
47,-64.4311,-18.3224,-1498,7,2,4
48,-69.8119,-16.6318,-1498,7,2,4
49,-65.74,-11.6434,-1498,7,2,4
50,-63.3675,-12.8735,-1498,7,2,4
51,-40.382,-18.2564,-1498,7,2,4
52,-61.8099,-9.72288,-1498,7,2,4
53,-55.1369,-20.4104,-1498,7,2,4
54,-69.7506,-17.8512,-1498,7,2,4
55,-76.2422,-10.6682,-1498,7,2,4
56,-54.4041,-17.9205,-1498,7,2,4
57,-53.5698,-10.4039,-1498,7,2,4
58,-68.592,-23.6407,-1498,7,2,4
59,-167.768,-31.5743,-1502,7,2,5
60,-104.161,-25.3974,-1502,7,2,5
61,-103.419,-19.5727,-1502,7,2,5
62,-125.854,-36.4622,-1502,7,2,5
63,-120.791,-22.1178,-1502,7,2,5
64,-133.615,-31.9653,-1502,7,2,5
65,-110.142,-28.0881,-1502,7,2,5
66,-144.481,-27.7408,-1502,7,2,5
67,-61.669,-29.6843,-1502,7,2,6
68,-94.0941,-33.5902,-1502,7,2,6
69,-55.1217,-18.1508,-1502,7,2,6
70,-91.7954,-37.3722,-1502,7,2,6
71,-40.5924,-18.3022,-1502,7,2,6
72,-64.5819,-18.3892,-1502,7,2,6
