hit_id,particle_id,tx,ty,tz,tpx,tpy,tpz,weight
1,648527486031757312,-69.6983,-9.81108,-1502.5,-0.260142,-0.019807,-5.50112,6.00143e-06
2,324272917066022912,-78.1035,-13.9545,-1502.5,-0.777766,-0.112531,-14.8614,7.09782e-06
3,211691585035829248,-48.0736,-8.26913,-1502.5,-0.906273,-0.0650396,-24.2792,2.83293e-05
4,0,-58.013,-9.70065,-1502.5,-688412,209978,-694261,     0
5,968275981468958720,-95.9085,-0.262644,-1502.5,-0.517909,-0.031242,-8.08872,5.32624e-06
6,869199675884830720,-70.1977,-7.22522,-1502.5,-0.239689,-0.044304,-5.30964,6.00143e-06
7,824162511380021248,-91.4803,-14.031,-1502.5,-1.21728,-0.156714,-19.9456,1.20343e-05
8,144121647706669056,-62.9657,-12.5161,-1502.5,-2.36381,-0.447152,-56.0576,2.82957e-05
9,508906895331819520,-66.1291,-12.685,-1502.5,-1.38153,-0.243839,-31.3701,1.35715e-05
10,373807015408959488,-90.0134,-11.7935,-1502.5,-0.375048,-0.0159374,-6.13667,6.00143e-06
11,774632261327781888,-61.4536,1.80755,-1502.5,-0.50551,0.0322545,-12.2852,7.02182e-06
12,355788768608780288,-65.6408,-10.5223,-1502.5,-0.72563,-0.090667,-16.3876,8.75086e-06
13,495399944740405248,-81.4223,-12.5425,-1502.5,-0.813914,-0.151722,-15.1825,7.5428e-06
14,774629581268189184,-82.1851,1.91242,-1502.5,-0.372004,-0.0175664,-6.88575,4.62333e-06
15,707066103569842176,-95.1241,-15.0565,-1502.5,-0.316394,-0.0160862,-4.82442,4.89145e-06
16,508913904718446592,-69.4496,-10.8628,-1502.5,-0.365942,-0.0789966,-8.08698,5.5594e-06
17,517921722448478208,-65.3999,-7.04492,-1502.5,-0.811074,-0.107073,-18.8639,7.91891e-06
18,603488466101075968,-174.798,-7.79618, -1502,-0.654542,0.0250387,-5.60203,3.99191e-06
19,1071858223142666240,-125.252,-3.34081, -1502,-0.339619,0.0292083,-3.95953,7.07652e-06
20,0,-133.153,-11.6978, -1502,-58061.6,-32547.1,-997782,     0
21,283728906828120064,-126.626,-0.759427, -1502,-0.2859,-0.0367902,-3.39565,4.33437e-06
22,409839866877050880,-159.89,-9.25551, -1502,-0.55847,-0.0831255,-5.26944,3.28634e-06
23,58556759479943168,-163.552,-4.51164, -1502,-1.52526,0.00484678,-13.9684,7.88927e-06
24,675543929835225088,-147.145,0.0980801, -1502,-0.442287,-0.0437132,-4.56738,4.33437e-06
25,589976017951522816,-116.031,-13.2826, -1502,-0.529682,-0.0300515,-6.81351,6.77014e-06
26,517927563604000768,-124.956,-12.5789, -1502,-0.250217,0.0115314,-2.95411,5.33461e-06
27,324273260663406592,-131.638,-14.4602, -1502,-2.16539,-0.274373,-24.7986,1.59983e-05
28,477388776046329856,-106.419,-5.87454, -1502,-0.608088,-0.00268609,-8.61802,8.20553e-06
29,1049348265184591872,-169.469,-17.0319, -1498,-0.196486,0.0269936,-1.67275,3.00072e-06
30,324273260663406592,-131.289,-14.4159, -1498,-2.16409,-0.275725,-24.7993,1.10758e-05
31,716082579953942528,-142.462,-18.5991, -1498,-0.216904,0.014282,-2.2371,3.21877e-06
32,517927563604000768,-124.618,-12.5946, -1498,-0.249696,0.0119616,-2.95464,4.33437e-06
33,211680864797458432,-106.669,-20.9489, -1498,-0.36882,-0.0397912,-5.02023,5.65723e-06
34,801644100926308352,-136.14,-22.5025, -1498,-0.507433,-0.124833,-5.72201,4.64624e-06
35,324296831443927040,-111.198,-14.1042, -1498,-0.314017,-0.00677609,-4.25544,6.43754e-06
36,328766277491359744,-132.462,-15.3149, -1498,-0.732054,-0.0454092,-8.19823,8.29755e-06
37,481888252505096192,-137.146,-15.1464, -1498,-0.592287,-0.026686,-6.3493,6.9201e-06
38,860190483765264384,-106.821,-22.9662, -1498,-0.505184,-0.141009,-7.32668,6.00171e-06
39,589976017951522816,-115.72,-13.2655, -1498,-0.528633,-0.0281653,-6.81428,5.94952e-06
40,445870381882933248,-143.85,-20.8648, -1498,-0.156579,-0.0649326,-1.7521,5.65723e-06
41,716086428244639744,-103.656,-17.371, -1498,-0.408256,-0.104514,-6.06586,4.7143e-06
42,351284550506119168,-122.713,-17.6358, -1498,-1.02416,-0.181049,-12.5336,1.06344e-05
43,567454996157693952,-161.508,-25.2034, -1498,-1.24605,-0.145536,-11.4302,6.8578e-06
44,243205237572112385,-80.1347,-23.3744, -1498,0.18696,0.224963,0.317797,6.79346e-06
45,495399944740405248,-81.1809,-12.4977, -1498,-0.814451,-0.151548,-15.1831,6.87233e-06
46,535931791630925824,-72.8373,-22.6511, -1498,-0.437781,-0.10889,-8.81299,4.7143e-06
47,0,-39.8248,-12.4999, -1498,-319827,130420,-938457,     0
48,900720131632529408,-30.3627,-11.4891, -1498,0.171948,-0.0175608,-2.3614,4.45665e-06
49,508906895331819520,-65.9311,-12.6501, -1498,-1.37963,-0.243623,-31.3708,1.21795e-05
50,324283637304393728,-73.3807,-25.4577, -1498,-0.183977,-0.0905032,-3.96083,4.23805e-06
51,824162511380021248,-91.2056,-13.9953, -1498,-1.21829,-0.159159,-19.9462,1.08e-05
52,144123159535157248,-85.6508,-22.2811, -1498,-0.281877,-0.102034,-5.08692,6.00143e-06
53,144121647706669056,-62.7759,-12.4804, -1498,-2.36503,-0.443499,-56.058,2.45229e-05
54,648527486031757312,-69.4858,-9.79635, -1498,-0.259658,-0.0163708,-5.5017,5.33461e-06
55,229689490870894592,-97.9658,-21.8848, -1498,-0.640912,-0.178217,-9.94637,8.13591e-06
56,0,-55.6558,-10.8501, -1498,157660,78687.7,-984353,     0
57,702568963573284864,-57.5301,-21.4462, -1498,-0.203255,-0.0561962,-5.04891,5.33461e-06
58,517921722448478208,-65.2064,-7.01932, -1498,-0.810298,-0.107319,-18.8645,7.16473e-06
59,355788768608780288,-65.4414,-10.4973, -1498,-0.726503,-0.0914111,-16.3881,7.69015e-06
60,900720750107820032,-57.6936,-20.334, -1498,-0.440284,-0.174157,-11.4888,6.07103e-06
61,797138852031496192,-68.7091,-23.2013, -1498,-0.8163,-0.252376,-17.7311,7.8274e-06
62,707066103569842176,-94.8297,-15.0418, -1498,-0.315271,-0.0156009,-4.82547,4.45665e-06
63,508913904718446592,-69.2458,-10.8193, -1498,-0.366677,-0.0773725,-8.08755,4.9892e-06
64,211691585035829248,-47.9056,-8.25722, -1498,-0.906451,-0.0633207,-24.2797,1.41647e-05
65,4511914684055552,-54.1069,-19.1362, -1498,-0.209779,-0.0566322,-5.56329,5.33461e-06
66,346783699657818112,-92.1879,-20.4868, -1498,-0.854719,-0.218288,-14.053,1.0422e-05
67,130609543154499584,-57.4689,-15.327, -1498,-0.638512,-0.186577,-16.8034,6.78027e-06
68,324272917066022912,-77.8679,-13.9204, -1498,-0.778752,-0.113272,-14.8624,6.4669e-06
69,112603734579609600,-124.289,-30.9021, -1502,-0.725547,-0.139114,-8.61762,8.31e-06
70,477388501168422912,-114.872,-32.7128, -1502,-0.205132,-0.0228844,-2.60239,6.00143e-06
71,860190483765264384,-107.096,-23.0433, -1502,-0.502995,-0.141414,-7.32637,6.82954e-06
72,144140683001724928,-106.715,-25.1821, -1502,-0.904115,-0.177217,-12.5463,1.27746e-05
73,409836293464260608,-167.134,-46.9942, -1502,-0.210753,-0.00751871,-1.75387,8.49182e-06
74,436856173241565184,-118.228,-30.3474, -1502,-0.348262,-0.129316,-4.36842,4.38923e-06
75,716086428244639744,-103.926,-17.4402, -1502,-0.40966,-0.10484,-6.06341,5.21055e-06
76,716082648673419264,-139.129,-31.6863, -1502,-0.540796,-0.16424,-5.94945,6.6983e-06
77,860187666266718208,-141.133,-38.647, -1502,-0.433379,-0.0716504,-4.4962,3.96751e-06
78,324283431145963520,-165.991,-40.6097, -1502,-0.364692,-0.0346703,-3.19422,2.35447e-06
79,324283568584916992,-139.835,-30.5525, -1502,-0.843686,-0.139671,-8.98036,6.64514e-06
80,211680864797458432,-106.963,-20.9804, -1502,-0.369155,-0.0399981,-5.0195,6.43754e-06
81,0,-143.734,-35.9998, -1502,-153204,-135802,-978819,     0
82,504404257777123328,-132.381,-32.231, -1502,-0.306336,-0.0321956,-3.36624,5.65723e-06
83,211671725107052544,-170.738,-38.286, -1502,-0.372177,-0.139571,-3.44508,3.08222e-06
84,689058027252219904,-84.6078,-41.4618, -1502,-0.329169,-0.131551,-5.66804,5.5594e-06
85,324283637304393728,-73.5662,-25.5487, -1502,-0.183395,-0.0894136,-3.96023,4.62333e-06
86,4511914684055552,-54.2578,-19.1773, -1502,-0.209816,-0.057541,-5.56269,6.00143e-06
87,797138852031496192,-68.8934,-23.2582, -1502,-0.817877,-0.25254,-17.7306,8.72196e-06
88,468381095755251712,-83.8068,-36.62, -1502,-0.199674,-0.0574672,-3.3649,6.00143e-06
89,243206749383819264,-78.2243,-38.3417, -1502,-0.522457,-0.228209,-9.82924,5.83022e-06
90,598982530011496448,-55.9454,-25.0462, -1502,-0.627187,-0.259617,-16.6393,8.28086e-06
91,445874642490490880,-48.379,-28.6419, -1502,-0.225819,-0.110316,-6.62476,5.5594e-06
92,702568963573284864,-57.6911,-21.4897, -1502,-0.202925,-0.0542901,-5.04847,6.00143e-06
93,553946052701454336,-87.271,-37.8303, -1502,-0.475757,-0.179653,-7.99177,7.07253e-06
94,243205237572112385,-82.4841,-26.2115, -1502,0.186361,0.225776,0.318651,8.20876e-06
95,90077490105548800,-73.0251,-36.452, -1502,-0.788833,-0.364774,-15.9008,8.16112e-06
96,535931791630925824,-73.0359,-22.7008, -1502,-0.437579,-0.110527,-8.81248,5.21055e-06
97,716086565683593216,-71.1717,-29.655, -1502,-0.644509,-0.288951,-13.8787,6.97919e-06
98,1049340568603197440,-66.3682,-36.1215, -1502,-0.651083,-0.37814,-14.9144,8.45471e-06
99,725085449881649152,-87.1248,-43.8182, -1502,-0.390357,-0.160933,-6.53711,6.00143e-06
100,414334807850352640,-80.6112,-32.1123, -1502,-0.733356,-0.26661,-13.4831,8.69812e-06
101,824176873750659072,-94.9437,-32.889, -1502,-0.27701,-0.0612429,-4.14837,7.00504e-06
102,0,-52.0539,-16.7798, -1502,543890,390457,-742783,     0
103,130609543154499584,-57.6213,-15.3717, -1502,-0.641861,-0.188749,-16.8027,7.6278e-06
104,918741676967591936,-79.1276,-35.962, -1502,-0.315885,-0.166897,-6.22401,6.00143e-06
105,900720750107820032,-57.8474,-20.3942, -1502,-0.44353,-0.171661,-11.4882,7.00504e-06
106,130607550289674240,-71.9191,-31.5684, -1502,-0.373641,-0.130314,-7.58891,5.5594e-06
107,707069539543678976,-68.827,-26.1273, -1502,-1.50372,-0.539302,-32.611,1.65226e-05
108,900720131632529408,-30.0715,-11.5204, -1502,0.171595,-0.0194562,-2.36098,4.89145e-06
109,216178210952445952,-51.8204,-22.3248, -1502,-0.447654,-0.165941,-12.7043,6.00143e-06
110,373806877970006016,-142.906,-55.5082, -1498,-0.451658,-0.124201,-4.53791,4.38923e-06
111,508917409411760128,-147.104,-50.1228, -1498,-0.387847,-0.0859017,-3.8759,3.21877e-06
112,387329702760546304,-159.028,-50.4438, -1498,-0.685297,-0.164275,-6.3313,5.74785e-06
113,247702102673981440,-155.356,-60.8766, -1498,-1.88091,-0.68273,-18.002,7.86233e-06
114,1004309726290247680,-112.785,-39.9908, -1498,-0.464386,-0.205313,-6.36307,7.09901e-06
115,477388501168422912,-114.558,-32.6785, -1498,-0.203924,-0.0220393,-2.60345,5.33461e-06
116,860187666266718208,-140.748,-38.5832, -1498,-0.434189,-0.0711475,-4.49673,3.09792e-06
117,144123434413064192,-141.426,-45.9212, -1498,-0.751899,-0.288233,-8.11117,4.48177e-06
118,824169039730311168,-96.2816,-41.1625, -1502,-0.190008,-0.115944,-3.14035,7.00504e-06
