hit_id,x,y,z,volume_id,layer_id,module_id
1,-56.1138,-9.5571,-1502.5,7,2,1
2,-56.8289,-1.1874,-1502.5,7,2,1
3,-87.6406,-11.8878,-1502.5,7,2,1
4,-96.3652,-6.60609,-1502.5,7,2,1
5,-66.3204,-13.2192,-1502.5,7,2,1
6,-66.1939,-6.93991,-1502.5,7,2,1
7,-35.4164,4.76094,-1502.5,7,2,1
8,-58.6036,-0.424293,-1502.5,7,2,1
9,-68.4848,-11.283,-1502.5,7,2,1
10,-86.0508,-12.0135,-1502.5,7,2,1
11,-97.8154,-5.91775,-1502.5,7,2,1
12,-58.7592,3.67613,-1502.5,7,2,1
13,-61.4819,-8.02355,-1502.5,7,2,1
14,-56.1465,-2.63834,-1502.5,7,2,1
15,-75.6778,-11.8993,-1502.5,7,2,1
16,-57.8429,-4.07587,-1502.5,7,2,1
17,-56.9941,3.06273,-1502.5,7,2,1
18,-144.805,-13.1767,-1502,7,2,2
19,-151.636,-12.115,-1502,7,2,2
20,-139.484,-10.6282,-1502,7,2,2
21,-111.911,-12.2565,-1502,7,2,2
22,-107.376,-8.49306,-1502,7,2,2
23,-165.772,-17.3437,-1498,7,2,3
24,-112.353,-19.4158,-1498,7,2,3
25,-172.094,-31.2001,-1498,7,2,3
26,-112.713,-21.0993,-1498,7,2,3
27,-107.087,-8.50124,-1498,7,2,3
28,-138.169,-22.53,-1498,7,2,3
29,-111.631,-12.1641,-1498,7,2,3
30,-171.225,-19.1141,-1498,7,2,3
31,-152.181,-23.7274,-1498,7,2,3
32,-135.747,-21.2733,-1498,7,2,3
33,-138.028,-19.5822,-1498,7,2,3
34,-144.433,-13.1555,-1498,7,2,3
35,-124.644,-24.7325,-1498,7,2,3
36,-56.4004,-16.0859,-1498,7,2,4
37,-71.8203,-15.5713,-1498,7,2,4
38,-96.906,-23.2908,-1498,7,2,4
39,-67.0024,-17.8085,-1498,7,2,4
40,-80.9105,-17.4966,-1498,7,2,4
41,-84.0866,-23.1955,-1498,7,2,4
42,-80.5366,-19.6694,-1498,7,2,4
43,-85.7947,-11.9845,-1498,7,2,4
44,-68.2757,-11.2238,-1498,7,2,4
45,-55.9508,-9.55034,-1498,7,2,4
46,-61.8524,-17.4976,-1498,7,2,4
47,-98.7263,-23.4193,-1498,7,2,4
48,-75.4555,-11.9191,-1498,7,2,4
49,-61.3083,-7.95699,-1498,7,2,4
50,-75.6884,-18.6597,-1498,7,2,4
51,-66.1293,-13.1766,-1498,7,2,4
52,-107.307,-28.346,-1502,7,2,5
53,-124.968,-24.8465,-1502,7,2,5
54,-113.894,-26.4025,-1502,7,2,5
55,-135.367,-32.3259,-1502,7,2,5
56,-118.252,-27.0166,-1502,7,2,5
57,-165.295,-39.4165,-1502,7,2,5
58,-114.976,-29.5332,-1502,7,2,5
59,-113.503,-31.2413,-1502,7,2,5
60,-113.052,-21.1193,-1502,7,2,5
61,-119.126,-27.4789,-1502,7,2,5
62,-109.183,-19.1405,-1502,7,2,5
63,-69.2403,-34.3358,-1502,7,2,6
64,-63.244,-33.8544,-1502,7,2,6
65,-62.0109,-17.5407,-1502,7,2,6
66,-56.5115,-16.1287,-1502,7,2,6
67,-73.2999,-38.9398,-1502,7,2,6
68,-66.6534,-36.0243,-1502,7,2,6
69,-60.1671,-27.8715,-1502,7,2,6
70,-56.7639,-23.5936,-1502,7,2,6
71,-69.8095,-36.1951,-1502,7,2,6
72,-90.6047,-31.1165,-1502,7,2,6
73,-57.5058,-27.0939,-1502,7,2,6
74,-88.457,-38.6696,-1502,7,2,6
75,-67.775,-25.2321,-1502,7,2,6
76,-49.995,-23.7664,-1502,7,2,6
77,-61.87,-27.582,-1502,7,2,6
78,-79.8309,-39.0473,-1502,7,2,6
79,-107.045,-28.2578,-1498,7,2,7
80,-147.181,-49.0402,-1498,7,2,7
81,-113.18,-31.2105,-1498,7,2,7
82,-158.903,-52.0196,-1498,7,2,7
83,-149.158,-49.0698,-1498,7,2,7
84,-98.6664,-40.0041,-1498,7,2,7
85,-159.229,-52.287,-1498,7,2,7
86,-112.011,-38.4651,-1498,7,2,7
87,-120.477,-44.8886,-1498,7,2,7
88,-115.635,-43.7931,-1498,7,2,7
89,-99.2934,-35.521,-1498,7,2,7
